"","R32_2_1.fq.gz.subread.BAM","R34_2_1.fq.gz.subread.BAM","R41_5_1.fq.gz.subread.BAM","R43_5_1.fq.gz.subread.BAM","R45_5_1.fq.gz.subread.BAM","R46_3_1.fq.gz.subread.BAM","R57_5_1.fq.gz.subread.BAM","R59_1_1.fq.gz.subread.BAM","R63_2_1.fq.gz.subread.BAM","R64_2_1.fq.gz.subread.BAM","R69_2_1.fq.gz.subread.BAM","R71_09_1.fq.gz.subread.BAM","R71_2_1.fq.gz.subread.BAM","R82_1_1.fq.gz.subread.BAM","R82_4_1.fq.gz.subread.BAM","R82_5_1.fq.gz.subread.BAM"
"ENSMUSG00000102628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000100595",0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
"ENSMUSG00000097426",192,133,433,127,111,108,167,269,149,93,243,214,132,182,125,225
"ENSMUSG00000104478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000086053",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"ENSMUSG00000101231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102135",50,61,62,51,65,106,29,38,31,97,25,52,29,63,128,56
"ENSMUSG00000103282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101097",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100764",9,2,3,1,0,2,1,4,2,2,1,2,1,3,0,5
"ENSMUSG00000102095",292,237,910,173,315,313,300,457,250,161,719,425,211,336,358,461
"ENSMUSG00000102534",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100831",1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,2
"ENSMUSG00000100884",0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
"ENSMUSG00000100635",0,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
