ID,Treatment,OF_Dist,OF_line_cross,OF_Imb_time,OF_gait,OF_Mid_ent,OF_Mid_time,OF_Mid_pct,FI,nesting_score,WH_Time,WH_Weight,WH_Impulse,RR_Time,RR_RPM,RR_Distance,BB_time,Grip_Strength_average,Grip_strength_maximum,AMS,LIPA,NH3,GLU,TRIG,CHOL,LD,CK,CA,PHOS,MG,NA,K,CL,HCO3,UREA,CREA,Systolic,Diastolic,Rate,Flow,Volume
R32_2,Control,9.456,90,214.1,0.11008149,4,6.1,2.033333333,0.177419355,10.5,27.66666667,31.1,8.4356884,159.2666667,22.96666667,343.9666667,13,118.6,118.6,1548,70,261,17.2,0.9,3.2,103,26,2.21,2.05,0.91,148,6.4,111,14,8.1,34,96.7,76.7,409.5,13.485,38.749
R41_5,Control,19.034,161,114.1,0.102388381,15,16.2,5.4,0.217741935,9,29.33333333,32.2,9.262093867,79.76666667,13.53333333,112,8.66667,100.2,100.2,1379,47,189,15,0.6,3.2,155,28,2.32,2.26,1,153,5.5,119,16,8.1,31,84.5,43.125,324,3.925,18.93625
R45_5,Control,20.921,185,116.7,0.114135297,30,46.7,15.56666667,0.14516129,11,47.33333333,27,12.532068,79.83333333,13.46666667,124.9,16,102.8,114,1367,111,353,9.1,0.5,1.5,124,82,1.86,2.69,0.94,151,7,118,13,6.1,27,93.1,68,464.1,10.914,31.819
R57_5,Control,16.321,136,124.2,0.092838453,20,45.4,15.13333333,0.215806452,11.5,60,30.5,17.94498,133.4666667,19.9,260.7,15,122.4,131,1392,92,252,18.4,0.6,2.5,84,35,2.2,2.68,1.05,151,5.5,117,14,6.7,34,88.66666667,67.16666667,321.8333333,4.023333333,13.00333333
R63_2,Control,24.826,212,63.1,0.104795272,23,20,6.666666667,0.129032258,10,43.66666667,29.4,12.5889428,109.0333333,16.86666667,180.6,19.3333,98,107,1286,65,331,12.5,0.6,2,280,91,2.29,2.28,0.99,155,6.3,121,13,5.9,29,104,76.22222222,333.1111111,8.714444444,39.69
R69_2,Control,13.474,113,171.5,0.104856031,12,9.8,3.266666667,0.153225806,11.5,39.66666667,32.6,12.68046547,99,15.83333333,154.9333333,15,115.6,123,1465,72,331,18.9,0.5,2.7,161,77,2.45,2.63,1.17,151,5.3,119,13,6.8,33,77.125,58.75,306.875,9.95875,26.02875
R43_5,High DBI,11.649,98,167.5,0.087916981,26,50.1,16.7,0.241935484,4.5,45.66666667,32.2,14.41939613,54.5,10.46666667,68.53333333,21,122.2,122.2,1625,98,237,15.2,0.6,1.5,448,25,1.99,1.98,1.18,151,6.5,119,13,10.5,31,110.2222222,78,532,9.454444444,38.18
R46_3,High DBI,14.444,168,152.2,0.097726658,38,58.2,19.4,0.203548387,2.5,56.66666667,30.8,17.11473867,70.7,12.43333333,93.13333333,45.3333,112.4,132,1611,56,175,18,0.8,1.9,172,42,2.11,2.07,0.98,157,5.9,123,13,9.8,34,91.625,62.625,283.1666667,6.81875,29.30125
R71_1,High DBI,4.872,43,231,0.070608696,6,32.1,10.7,0.258064516,1,15,37.6,5.530584,37.63333333,8.5,38.7,47.6667,131.2,144,1476,49,262,15.8,0.7,2.2,277,37,2.49,2.42,1.11,152,5.3,116,17,9.4,31,95,62,241.1666667,4.44125,18.4025
R71_2,High DBI,17.414,157,97.9,0.086165265,14,24.1,8.033333333,0.219677419,1,33.33333333,37.1,12.12675333,51.7,10.16666667,58.06666667,29.3333,109,123,2102,64,348,12,0.5,1.8,325,32,2.56,2.46,1.24,154,6.9,121,15,10.5,30,83.22222222,67.66666667,249.2222222,4.498888889,11.21666667
